ID/SKU,Producto,Categoría,Precio Proveedor (Costo A),Precio Venta (Público B),Ganancia por Und.,Margen de Ganancia,¿Alta Rotación?
TNK-001,Agua Cielo Und,Bebidas,$950,"$2,000","$1,050",52.5%,SÍ
TNK-002,Big Cola,Bebidas,"$3,000","$3,500",$500,14.3%,NO
TNK-003,Bretaña,Bebidas,"$3,150","$4,500","$1,350",30.0%,NO
TNK-004,Coca Cola X 400,Bebidas,"$2,400","$3,000",$600,20.0%,SÍ
TNK-005,Cocacola Grande,Bebidas,"$5,100","$6,500","$1,400",21.5%,SÍ
TNK-006,Colombiana,Bebidas,"$3,600","$4,500",$900,20.0%,SÍ
TNK-007,"Jugo Del Valle 1,5 Litros",Bebidas,"$3,500","$4,000",$500,12.5%,NO
TNK-008,Jugo Hit X 1000,Bebidas,"$3,300","$4,300","$1,000",23.3%,SÍ
TNK-009,Manzana,Bebidas,"$3,600","$4,500",$900,20.0%,NO
TNK-010,Pony Malta X 1 Littro,Bebidas,"$3,200","$4,500","$1,300",28.9%,SÍ
TNK-011,Quatro,Bebidas,"$3,600","$4,500",$900,20.0%,NO
TNK-012,Speed,Bebidas,"$2,900","$3,600",$700,19.4%,SÍ
TNK-013,Sprite X 1500,Bebidas,"$3,600","$5,500","$1,900",34.5%,NO
TNK-014,Boliquessos Familiar,Pasabocas,"$5,500","$7,000","$1,500",21.4%,NO
TNK-015,Boliquesos Pequeños,Pasabocas,"$1,850","$2,200",$350,15.9%,NO
TNK-016,Cheese Tries,Pasabocas,"$1,850","$2,200",$350,15.9%,NO
TNK-017,Choclitos,Pasabocas,"$1,750","$2,200",$450,20.5%,SÍ
TNK-018,Doritos,Pasabocas,"$2,150","$2,700",$550,20.4%,SÍ
TNK-019,Doritos Grandes,Pasabocas,"$8,000","$9,400","$1,400",14.9%,NO
TNK-020,Maizitos,Pasabocas,"$1,700","$2,400",$700,29.2%,NO
TNK-021,Maizitos Grandes,Pasabocas,"$6,000","$8,500","$2,500",29.4%,NO
TNK-022,Palomitas Gigante Caramelo,Pasabocas,"$4,500","$5,200",$700,13.5%,NO
TNK-023,Papa De Pollo Grandes Super Rica,Pasabocas,"$5,550","$7,000","$1,450",20.7%,NO
TNK-024,Papas De Limon Personal Margarita,Pasabocas,"$2,000","$2,500",$500,20.0%,SÍ
TNK-025,Papas De Pollo Margarita Grande,Pasabocas,"$5,800","$7,000","$1,200",17.1%,SÍ
TNK-026,Papas De Pollo Personal Margarita,Pasabocas,"$2,000","$2,500",$500,20.0%,SÍ
TNK-027,Papas De Pollo Personal Super Rica,Pasabocas,"$1,700","$2,500",$800,32.0%,NO
TNK-028,Papas Fosforitos,Pasabocas,"$1,600","$2,300",$700,30.4%,NO
TNK-029,Papas Fosforitos Grandes,Pasabocas,"$5,800","$7,800","$2,000",25.6%,NO
TNK-030,Popetas,Pasabocas,"$1,800","$2,300",$500,21.7%,NO
TNK-031,Popetas Grandes,Pasabocas,"$4,150","$5,300","$1,150",21.7%,NO
TNK-032,Tajaditas Plátano Verde,Pasabocas,"$1,750","$2,300",$550,23.9%,NO
TNK-033,Tajamiel,Pasabocas,"$1,750","$2,300",$550,23.9%,NO
TNK-034,Todo Rico,Pasabocas,"$2,200","$2,800",$600,21.4%,NO
TNK-035,Todo Rico Grande,Pasabocas,"$6,200","$8,000","$1,800",22.5%,SÍ
TNK-036,Todo Rico Grande Criollo,Pasabocas,"$6,200","$8,000","$1,800",22.5%,NO
TNK-037,Tostacos,Pasabocas,"$1,850","$2,400",$550,22.9%,NO
TNK-038,Tostacos Grandes,Pasabocas,"$6,000","$8,500","$2,500",29.4%,NO
TNK-039,Trocipollos,Pasabocas,"$1,118","$1,600",$482,30.1%,SÍ
TNK-040,Lucky,Cigarrillos,$700,"$1,300",$600,46.2%,SÍ
TNK-041,Mustang,Cigarrillos,$620,"$1,200",$580,48.3%,NO
